"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0.025,1,0.998836882950924,0.88,0.632,0.754,0.176026991700949,0.124475204960706,0.160876905989429,0.0309636968315029,-0.103627088068319,-7.17084849000554,-6.77620058847803,0.686,0.566,0.685,0.911153644044352,0.724422326253979,0.936914659839402,0.17864962630388,-0.604244817636121,0.725526158393055,0.69403487099052,0.470581744362071
"2",0.05,1,1.00064151240263,0.932,0.858,0.901,0.173478681344124,0.184290258548029,0.201588285676617,0.15262358606126,-0.103102973885125,-6.04072991670844,-5.80460477563009,0.809,0.779,0.835,1.00166994300038,1.07162504643407,1.17217122498005,0.886371287495022,-0.600801942138781,0.725526158393055,0.706342211413263,0.465071723292288
"3",0.1,1,1.00448163946873,0.966,0.983,0.94,0.162874172626444,0.287326907774602,0.184887329961866,0.28186568775669,-0.111544044788466,-4.69700051463356,-4.55593710803929,0.855,0.966,0.883,0.925994883975873,1.67178123738888,1.07715572548562,1.63987035795027,-0.649227612011605,0.725526158393055,0.713935504622222,0.470695367983765
"4",0.2,1,1.00020817159071,0.961,0.957,0.911,0.139227346753705,0.158535115185633,0.130425254120421,0.14866932350784,-0.0975519824006196,-3.08045846991705,-2.99811889665699,0.844,0.871,0.816,0.782726930221788,0.922704968897489,0.759696118480282,0.864788538270818,-0.568141397255795,0.725526158393055,0.71952223655135,0.483839118058451
"5",0.25,1,0.99935002474888,0.959,0.955,0.955,0.130887742775915,0.146601080617599,0.146601080617599,0.131591878481985,-0.0985273093923763,-2.4769282521932,-2.42024015732844,0.847,0.866,0.866,0.749002885054532,0.853774335460851,0.853774335460851,0.766855127351503,-0.573099099249462,0.725526158393055,0.720638888994243,0.488606424473855
"6",0.3,1,0.996146990968553,0.962,0.958,0.958,0.127719930851781,0.141279144983204,0.141279144983204,0.12603702959097,-0.103059176550599,-1.9270637195226,-1.88711349486401,0.845,0.867,0.867,0.716629503171273,0.821928676713331,0.821928676713331,0.734239691247923,-0.598621814193007,0.725526158393055,0.721224181709228,0.49270725650649
"7",0.4,1,0.998681623014346,0.95,0.937,0.951,0.122506123176643,0.123452187610696,0.131558961745298,0.10523208720208,-0.0963607778420989,-0.939306329018654,-0.93363997054238,0.819,0.832,0.857,0.691175985404494,0.718134439608305,0.765544586293692,0.611483127876557,-0.56122640569127,0.725526158393055,0.721630864496683,0.497512171216065
"8",0.5,1,0.996227529827158,0.951,0.96,0.96,0.121623105998764,0.137447392089934,0.137447392089934,0.115522997222618,-0.113876910692996,-0.000550725658193141,-0.0198362534696711,0.81,0.873,0.873,0.683797922723529,0.799752816684667,0.799752816684667,0.672159951301149,-0.662703290575804,0.725526158393055,0.722253257764294,0.499118942079145
"9",0.6,1,0.995124298209636,0.944,0.924,0.941,0.123686623929181,0.124001024686474,0.132233029126827,0.0961233983887319,-0.106933255990525,0.931192500736831,0.868386005549557,0.826,0.832,0.859,0.694419612864335,0.722096416226019,0.770250155836564,0.56012632645129,-0.622180792621603,0.725526158393055,0.721819332625386,0.497015865249347
"10",0.7,1,0.9940102357153,0.952,0.946,0.946,0.128378855753206,0.141163100723235,0.141163100723235,0.10141210683432,-0.126726504184208,1.93109624415987,1.84301586153796,0.829,0.862,0.862,0.724159497186629,0.822653326686996,0.822653326686996,0.589951406830362,-0.738693817466143,0.725526158393055,0.721159441090507,0.491515994982549
"11",0.75,1,0.993791641148503,0.962,0.949,0.949,0.131507228237239,0.145658530785614,0.145658530785614,0.0996349121739105,-0.132362861848708,2.48229237542221,2.38075746740967,0.839,0.85,0.85,0.758576894167437,0.849351931228285,0.849351931228285,0.579653432751561,-0.771865311132297,0.725526158393055,0.720793097829391,0.487447557843088
"12",0.8,1,0.999022423101144,0.957,0.945,0.902,0.13945676370143,0.15547380898008,0.129958680416686,0.0981463802856375,-0.145031482710678,3.08156603689908,2.97134910813278,0.835,0.859,0.802,0.789404498307887,0.90574472712069,0.757459203494664,0.571341637988704,-0.844869636928712,0.725526158393055,0.719183392767207,0.482781402266439
"13",0.9,1,1.00329968647221,0.953,0.985,0.925,0.163531532916448,0.294138369526787,0.182551132233654,0.110441011431485,-0.289538110569315,4.70578350711574,4.51879829709863,0.854,0.958,0.866,0.923578669710982,1.71428753036385,1.0641519284418,0.644135237436757,-1.68740293415249,0.725526158393055,0.71398951007846,0.469648877344894
"14",0.95,1,1.00112190300005,0.933,0.868,0.902,0.177600535319696,0.196609587230397,0.21059177243175,0.103019229224975,-0.165036849961748,6.00743583590105,5.74058383910379,0.816,0.801,0.84,1.02669043209431,1.14614159542419,1.22750756531784,0.600241091150423,-0.962328217661446,0.725526158393055,0.706422764796032,0.460851819810466
"15",0.975,1,1.01228461736186,0.885,0.642,0.764,0.181291410639943,0.129090414919338,0.166677951319682,0.108290544855376,-0.0307949388778385,7.16122579928232,6.82420370945593,0.693,0.565,0.686,0.9434033851873,0.752669977433065,0.97194442545112,0.633341553751179,-0.176735682366409,0.725526158393055,0.692613226389007,0.465602911708307
